Thumbnail,Year Published,Min Players,Max Players,Play Time (Minutes),Category,Mechanics,Average Rating
https://cf.geekdo-images.com/thumb/img/mEmeJrI3AbGTpWyeFOZnR0s_LcY=/fit-in/200x150/pic361592.jpg,2005,2,2,180,"['Modern Warfare', 'Political', 'Wargame']","['Action/Event', 'Advantage Token', 'Area Majority / Influence', 'Campaign / Battle Card Driven', 'Dice Rolling', 'Hand Management', 'Simulation', 'Simultaneous Action Selection', 'Tug of War']",8.3021
https://cf.geekdo-images.com/thumb/img/WI5NmPd9C3PpRvHKoP4a0Ettlao=/fit-in/200x150/pic2452831.png,2015,2,4,60,"['Environmental', 'Medical']","['Action Points', 'Cooperative Game', 'Hand Management', 'Legacy Game', 'Point to Point Movement', 'Set Collection', 'Trading', 'Variable Player Powers']",8.62029
https://cf.geekdo-images.com/thumb/img/da35zyUhqdAVUoYNFvTdvp_MsnY=/fit-in/200x150/pic3016500.jpg,2014,2,5,120,"['Bluffing', 'Deduction', 'Horror', 'Zombies']","['Action Points', 'Area Movement', 'Cooperative Game', 'Dice Rolling', 'Hand Management', 'Narrative Choice / Paragraph', 'Push Your Luck', 'Semi-Cooperative Game', 'Storytelling', 'Trading', 'Traitor Game', 'Variable Player Powers', 'Voting']",7.59954
https://cf.geekdo-images.com/thumb/img/P-H2xOKpbkVCoDTGOZL_B8jLdgc=/fit-in/200x150/pic1356616.jpg,2012,2,5,150,"['Civilization', 'Economic', 'Fantasy', 'Territory Building']","['End Game Bonuses', 'Hexagon Grid', 'Income', 'Increase Value of Unchosen Resources', 'Network and Route Building', 'Turn Order: Pass Order', 'Variable Player Powers', 'Variable Setup', 'Victory Points as a Resource']",8.15825
https://cf.geekdo-images.com/thumb/img/e7GyV4PaNtwmalU-EQAGecwoBSI=/fit-in/200x150/pic2437871.jpg,2017,1,4,120,"['Adventure', 'Exploration', 'Fantasy', 'Fighting', 'Miniatures']","['Action Queue', 'Action Retrieval', 'Campaign / Battle Card Driven', 'Communication Limits', 'Cooperative Game', 'Deck, Bag, and Pool Building', 'Grid Movement', 'Hand Management', 'Hexagon Grid', 'Legacy Game', 'Modular Board', 'Once-Per-Game Abilities', 'Scenario / Mission / Campaign Game', 'Simultaneous Action Selection', 'Solo / Solitaire Game', 'Storytelling', 'Variable Player Powers']",8.8199
https://cf.geekdo-images.com/thumb/img/uwI4ME5bA9KTNqmo6fYdUAV8NkE=/fit-in/200x150/pic69366.jpg,1997,2,7,45,"['Card Game', 'Farming', 'Negotiation']","['Hand Management', 'Negotiation', 'Set Collection', 'Trading']",7.03691
https://cf.geekdo-images.com/thumb/img/43_iOPRGbt6KUK1iwH4T38-4XYY=/fit-in/200x150/pic2007286.jpg,2010,2,5,25,"['Card Game', 'Deduction', 'Memory']","['Communication Limits', 'Cooperative Game', 'Hand Management', 'Memory', 'Roles with Asymmetric Information', 'Set Collection']",7.10417
https://cf.geekdo-images.com/thumb/img/iYGd4Rb34uNe6HRPUu9AWJzePtc=/fit-in/200x150/pic175966.jpg,2005,1,8,240,"['Adventure', 'Fantasy', 'Fighting', 'Horror', 'Novel-based']","['Cooperative Game', 'Dice Rolling', 'Hand Management', 'Point to Point Movement', 'Role Playing', 'Semi-Cooperative Game', 'Solo / Solitaire Game', 'Stat Check Resolution', 'Variable Player Powers']",7.26607
https://cf.geekdo-images.com/thumb/img/9wbe0O4YeIw9q9YZ9wObFiEHooQ=/fit-in/200x150/pic4597095.jpg,1999,2,2,30,"['Card Game', 'Exploration']","['Hand Management', 'Score-and-Reset Game', 'Set Collection']",7.17197
https://cf.geekdo-images.com/thumb/img/9N_vkqFmwyQk_4xFvdOhfN8uVTw=/fit-in/200x150/pic5146864.png,2004,3,6,60,"['Adventure', 'Exploration', 'Horror', 'Miniatures']","['Dice Rolling', 'Map Addition', 'Modular Board', 'Player Elimination', 'Role Playing', 'Storytelling', 'Team-Based Game', 'Traitor Game', 'Variable Player Powers']",7.06587
